id,file_id,yl,y,user_id,algorithm,created_at,updated_at,mode
9562,317,1,1,60,imt,2018-02-03 14:20:51.005163,2018-02-03 14:20:51.005216,teaching
9563,274,1,1,60,imt,2018-02-03 14:21:00.086971,2018-02-03 14:21:00.087024,teaching
9564,463,1,1,60,imt,2018-02-03 14:21:05.042209,2018-02-03 14:21:05.042254,teaching
9565,317,1,1,60,imt,2018-02-03 14:21:09.574278,2018-02-03 14:21:09.574321,teaching
9566,274,1,1,60,imt,2018-02-03 14:21:13.887949,2018-02-03 14:21:13.888012,teaching
9567,463,1,1,60,imt,2018-02-03 14:21:20.494481,2018-02-03 14:21:20.494523,teaching
9568,274,1,1,60,imt,2018-02-03 14:21:25.267909,2018-02-03 14:21:25.267950,teaching
9569,463,1,1,60,imt,2018-02-03 14:21:29.097868,2018-02-03 14:21:29.097910,teaching
9570,317,1,1,60,imt,2018-02-03 14:21:33.065777,2018-02-03 14:21:33.065818,teaching
9571,274,1,1,60,imt,2018-02-03 14:21:36.393015,2018-02-03 14:21:36.393058,teaching
9572,463,1,1,60,imt,2018-02-03 14:21:39.425191,2018-02-03 14:21:39.425251,teaching
9573,317,1,1,60,imt,2018-02-03 14:21:42.704296,2018-02-03 14:21:42.704337,teaching
9574,274,1,1,60,imt,2018-02-03 14:21:45.846059,2018-02-03 14:21:45.846101,teaching
9575,463,1,1,60,imt,2018-02-03 14:21:48.739916,2018-02-03 14:21:48.739959,teaching
9576,317,1,1,60,imt,2018-02-03 14:21:51.687366,2018-02-03 14:21:51.687432,teaching
9577,274,1,1,60,imt,2018-02-03 14:21:55.288209,2018-02-03 14:21:55.288252,teaching
9578,463,1,1,60,imt,2018-02-03 14:21:57.988333,2018-02-03 14:21:57.988413,teaching
9579,317,1,1,60,imt,2018-02-03 14:22:00.745151,2018-02-03 14:22:00.745194,teaching
9580,274,1,1,60,imt,2018-02-03 14:22:03.585571,2018-02-03 14:22:03.585622,teaching
9581,463,1,1,60,imt,2018-02-03 14:22:06.633949,2018-02-03 14:22:06.633992,teaching
9582,317,1,1,60,imt,2018-02-03 14:22:09.662707,2018-02-03 14:22:09.662750,teaching
9583,1299,-1,2,60,imt,2018-02-03 14:22:23.723691,2018-02-03 14:22:23.723735,test
9584,1303,-1,2,60,imt,2018-02-03 14:22:29.354597,2018-02-03 14:22:29.354638,test
9585,319,1,1,60,imt,2018-02-03 14:22:33.010521,2018-02-03 14:22:33.010585,test
9586,1435,1,2,60,imt,2018-02-03 14:22:36.185383,2018-02-03 14:22:36.185445,test
9587,1163,1,2,60,imt,2018-02-03 14:22:41.104890,2018-02-03 14:22:41.104951,test
9588,394,1,1,60,imt,2018-02-03 14:22:43.344523,2018-02-03 14:22:43.344565,test
9589,433,1,1,60,imt,2018-02-03 14:22:45.687883,2018-02-03 14:22:45.687925,test
9590,444,1,1,60,imt,2018-02-03 14:22:48.756153,2018-02-03 14:22:48.756194,test
9591,1193,-1,2,60,imt,2018-02-03 14:22:53.269099,2018-02-03 14:22:53.269165,test
9592,272,1,1,60,imt,2018-02-03 14:22:56.247267,2018-02-03 14:22:56.247309,test
9593,1295,-1,2,60,imt,2018-02-03 14:23:01.495561,2018-02-03 14:23:01.495604,test
9594,408,-1,1,60,imt,2018-02-03 14:23:03.986092,2018-02-03 14:23:03.986133,test
9595,1433,-1,2,60,imt,2018-02-03 14:23:07.620136,2018-02-03 14:23:07.620177,test
9596,370,1,1,60,imt,2018-02-03 14:23:11.282179,2018-02-03 14:23:11.282221,test
9597,251,1,1,60,imt,2018-02-03 14:23:15.007765,2018-02-03 14:23:15.007807,test
9598,1178,-1,2,60,imt,2018-02-03 14:23:18.028955,2018-02-03 14:23:18.029000,test
9599,1261,1,2,60,imt,2018-02-03 14:23:22.576262,2018-02-03 14:23:22.576303,test
9600,346,-1,1,60,imt,2018-02-03 14:23:25.259878,2018-02-03 14:23:25.259919,test
9601,1275,-1,2,60,imt,2018-02-03 14:23:27.798238,2018-02-03 14:23:27.798289,test
9602,1160,1,2,60,imt,2018-02-03 14:23:31.724508,2018-02-03 14:23:31.724550,test
9603,291,1,1,60,imt,2018-02-03 14:23:37.987272,2018-02-03 14:23:37.987315,test
9604,385,1,1,60,imt,2018-02-03 14:23:42.117714,2018-02-03 14:23:42.117754,test
9605,1290,-1,2,60,imt,2018-02-03 14:23:44.467956,2018-02-03 14:23:44.468003,test
9606,392,1,1,60,imt,2018-02-03 14:23:47.266164,2018-02-03 14:23:47.266206,test
9607,1217,-1,2,60,imt,2018-02-03 14:23:50.343900,2018-02-03 14:23:50.343944,test
9608,1348,1,2,60,imt,2018-02-03 14:23:55.186414,2018-02-03 14:23:55.186456,test
9609,268,1,1,60,imt,2018-02-03 14:24:01.031693,2018-02-03 14:24:01.031734,test
9610,1191,1,2,60,imt,2018-02-03 14:24:04.853544,2018-02-03 14:24:04.853610,test
9611,364,1,1,60,imt,2018-02-03 14:24:10.031067,2018-02-03 14:24:10.031132,test
9612,296,-1,1,60,imt,2018-02-03 14:24:16.680006,2018-02-03 14:24:16.680067,test
9613,1277,-1,2,60,imt,2018-02-03 14:24:19.453006,2018-02-03 14:24:19.453051,test
9614,353,-1,1,60,imt,2018-02-03 14:24:21.965703,2018-02-03 14:24:21.965747,test
